Time,X,Y,Z,ItemId
22:56:41.018,1.5,-0.5,0,null
22:56:43.070,1.5,-0.5488955,0,null
22:56:44.070,1.5,-0.5488955,0,null
22:56:45.072,1.5,-0.5488955,0,null
22:56:46.075,1.5,-0.5488955,0,null
22:56:47.075,0.9850032,-0.5488955,0,null
22:56:48.075,-0.2322947,0.5249498,0,null
22:56:49.077,-2.072355,-0.5489613,0,null
22:56:50.078,-2.073403,-0.5489613,0,null
22:56:51.080,-0.174937,-0.5489613,0,null
22:56:52.081,1.315978,-0.5489614,0,null
22:56:53.082,7.397133,-0.5489615,0,null
22:56:54.082,11.62268,-0.5489616,0,_Box
22:56:55.085,15.85506,-4.548705,0,_Box
22:56:56.087,15.85506,-4.548705,0,_Box
22:56:57.089,15.85506,-4.548705,0,_Box
22:56:58.091,15.85506,-4.548705,0,_Box
22:56:59.093,15.85506,-4.548705,0,_Box
22:57:00.094,15.85506,-4.548705,0,_Box
22:57:01.094,15.85506,-4.548705,0,_Box
22:57:02.096,15.85506,-4.548705,0,_Box
22:57:03.098,15.85506,-4.548705,0,_Box
22:57:04.098,15.85506,-4.548705,0,_Box
22:57:05.101,15.85506,-4.548705,0,_Box
22:57:06.102,15.85506,-4.548705,0,_Box
22:57:07.104,21.71473,-3.141536,0,null
22:57:08.107,22.57959,-3.431369,0,null
22:57:09.107,16.73868,0.4902174,0,null
22:57:10.109,14.5,-4.549044,0,null
22:57:11.111,15.06563,-3.240414,0,null
22:57:12.112,16.5,-4.548815,0,null
22:57:13.112,15.38564,-4.548814,0,_Box
22:57:14.114,17.87577,-2.54863,0,_Box
22:57:15.116,18.5,1.346156,0,_Box
22:57:16.118,18.5,9.53724,0,_Box
22:57:17.121,19.05135,7.743051,0,null
22:57:18.123,18.51231,3.349501,0,_Box
22:57:19.124,18.79926,-2.548685,0,_Box
22:57:20.126,18.5,-0.7324473,0,_Box
22:57:21.127,18.5,7.285373,0,_Box
22:57:22.129,22.88318,8.451239,0,_Box
22:57:23.132,28.44994,8.451238,0,_Box
22:57:24.132,28.90477,8.451238,0,_Box
22:57:25.134,28.85674,8.451238,0,_Box
22:57:26.135,30.88095,8.451238,0,_Box
22:57:27.136,30.88589,8.451238,0,_Box
22:57:28.137,30.88589,11.38812,0,_Box
22:57:29.138,33.01219,4.105008,0,null
22:57:30.140,37.85855,2.561087,0,null
22:57:31.143,41.53852,0.4509674,0,null
22:57:32.144,40.40084,0.4512419,0,null
22:57:33.145,36.83478,0.4512419,0,_Box
22:57:34.147,31.39999,0.4512417,0,_Box
22:57:35.149,28.85508,-8.548974,0,_Box
22:57:36.150,33.31112,-16.50217,0,_Box
22:57:37.151,32.74977,-16.54892,0,_Box
22:57:38.153,33.80986,-14.37422,0,null
22:57:39.156,30.99138,-16.47825,0,null
22:57:40.158,32.86883,-16.54889,0,null
22:57:41.161,26.1932,-16.64579,0,_Box
22:57:42.165,20.62113,-18.54894,0,_Box
22:57:43.165,26.12814,-16.61578,0,null
22:57:44.168,32.5,-15.69113,0,null
22:57:45.169,32.94233,-7.304149,0,null
22:57:46.170,36.86348,-10.54902,0,_Rag
22:57:47.172,36.92053,-10.54902,0,_Rag
22:57:48.174,37.43266,-6.549761,0,_Rag
22:57:49.177,41.08493,-6.566125,0,_Rag
22:57:50.179,45.13036,-7.548944,0,_Rag
22:57:51.179,45.99829,-7.548944,0,_Rag
22:57:52.181,45.99263,-7.548944,0,_Rag
22:57:53.183,45.99263,-7.548944,0,_Rag
