Time,X,Y,Z,ItemId
14:38:00.540,-67.5,86,0,null
14:38:02.479,-67.5,84.93915,0,null
14:38:03.486,-61.57326,84.93915,0,null
14:38:04.490,-51.53795,85.36903,0,null
14:38:05.491,-41.5131,87.20148,0,null
14:38:06.494,-31.50191,87.58956,0,null
14:38:07.496,-29.5,93.80457,0,null
14:38:08.518,-29.77071,99.31154,0,null
14:38:09.530,-22.46657,104.1742,0,null
14:38:10.549,-12.27118,106.8111,0,null
14:38:11.566,-2.095046,104.9347,0,null
14:38:12.574,7.974071,103.0477,0,null
14:38:13.579,4.641153,102.2128,0,Key
14:38:14.596,8.683457,91.8691,0,Key
14:38:15.610,14.32065,89.93661,0,Key
14:38:16.620,19.93044,87.93984,0,Key
14:38:17.637,25.37683,90.82824,0,Key
14:38:18.640,26,99.64365,0,Key
14:38:19.644,26,108.6751,0,Key
14:38:20.654,26,117.768,0,Key
14:38:21.673,21.8024,120.3355,0,Key
14:38:22.685,16.18198,123.7081,0,Key
14:38:23.685,10.62254,124.5349,0,Key
14:38:24.686,5.065495,124.9434,0,Key
14:38:25.691,-0.5178238,126.6173,0,Key
14:38:26.706,-6.155847,125.0336,0,Key
14:38:27.712,-11.7449,122.9647,0,Key
14:38:28.712,-17.30093,124.6729,0,Key
14:38:29.718,-22.8931,123.7223,0,Key
14:38:30.728,-27.85674,117.7573,0,Key
14:38:31.736,-33.45759,117.964,0,Key
14:38:32.741,-39.0347,119.9605,0,Key
14:38:33.747,-44.62473,119.9349,0,Key
14:38:34.765,-50.27913,119.9349,0,Key
14:38:35.784,-55.94217,122.5766,0,Key
14:38:36.791,-60.6437,119.938,0,null
14:38:37.812,1.260242,-0.5446685,0,null
14:38:38.840,11.09612,-0.5446684,0,null
14:38:39.841,17.02202,-0.5396138,0,null
14:38:40.858,19.00105,-7.549213,0,null
14:38:41.867,8.910061,-9.545561,0,null
14:38:42.878,-0.4414577,-14.11397,0,null
14:38:43.892,-6.529066,-11.77383,0,null
14:38:44.895,-16.52913,-11.87453,0,null
14:38:45.908,-17.32413,-13.2658,0,null
14:38:46.921,-18.11733,-14.24419,0,null
14:38:47.927,-18.12564,-16.41831,0,null
14:38:48.930,-18.5757,-16.54434,0,null
14:38:49.931,-16.87078,-16.54589,0,null
14:38:50.932,-20.26701,-16.25074,0,null
14:38:51.942,-24.40688,-13.98872,0,null
14:38:52.959,-25.28233,-14.58909,0,null
14:38:53.971,-26.33135,-14.46323,0,null
14:38:54.975,-27.61682,-16.54623,0,null
14:38:55.977,-25.63479,-16.05375,0,null
14:38:56.977,-27.4177,-16.54681,0,null
14:38:57.985,-26.5485,-16.54928,0,null
14:38:58.997,-32.52594,-14.53769,0,null
14:39:00.018,-36.08171,-7.987924,0,null
14:39:01.019,-39.5,-8.486553,0,null
14:39:02.035,-38.3107,-6.252067,0,null
14:39:03.036,-38.68872,-8.545309,0,null
14:39:04.040,-38.19712,-3.7929,0,null
14:39:05.057,-36.5,-0.6060406,0,null
14:39:06.064,-36.68928,-8.300071,0,null
14:39:07.082,-39.5,-7.065113,0,null
14:39:08.086,-38.49758,-6.535695,0,null
14:39:09.085,-38.1965,-5.482208,0,null
14:39:10.088,-36.25279,3.122662,0,null
14:39:11.104,-30.2004,1.453207,0,null
14:39:12.113,-27.21149,-0.5459648,0,null
14:39:13.129,-27.2115,-0.5459648,0,null
