Time,X,Y,Z,ItemId
21:47:22.476,1.5,-0.5,0,null
21:47:24.440,1.5,-0.5487165,0,null
21:47:25.439,1.249828,-0.5487165,0,null
21:47:26.442,-0.6671278,-0.5487165,0,null
21:47:27.445,-1.442691,-0.5487164,0,null
21:47:28.447,-0.7373587,-0.5487164,0,null
21:47:29.448,-0.9396523,-0.5487164,0,null
21:47:30.449,-0.6901621,-0.5487164,0,null
21:47:31.448,-0.9347801,-0.5487166,0,null
21:47:32.449,-0.4122577,-0.5487167,0,null
21:47:33.450,-1.688411,-0.5487168,0,null
21:47:34.452,-3.251922,-0.5487168,0,null
21:47:35.453,-3.251851,-0.5487168,0,null
21:47:36.454,-2.366145,-0.5487167,0,null
21:47:37.455,-2.175615,-0.5487167,0,null
21:47:38.456,-2.182568,-0.5487165,0,null
21:47:39.457,-2.610215,-0.5487165,0,null
21:47:40.457,0.01981774,-0.5487165,0,null
21:47:41.460,5.517363,-0.5487164,0,null
21:47:42.460,15.51377,-0.8307412,0,null
21:47:43.461,15.96393,-2.639909,0,null
21:47:44.462,15.60061,-3.652276,0,null
21:47:45.463,18.51424,-2.548862,0,null
21:47:46.464,9.89805,-0.5488,0,null
21:47:47.466,7.622612,-0.5488001,0,null
21:47:48.469,6.119979,1.144319,0,null
21:47:49.470,0.8103291,2.359074,0,null
21:47:50.470,-5.100726,3.032323,0,null
21:47:51.473,-14.04494,2.64116,0,null
21:47:52.475,-24.05736,2.130389,0,null
21:47:53.477,-29.21132,2.852974,0,null
21:47:54.478,-29.85214,1.990252,0,null
21:47:55.480,-28.71665,5.412052,0,null
21:47:56.481,-28.5,3.288599,0,null
21:47:57.483,-26.31244,5.500715,0,null
21:47:58.486,-28.5,4.82944,0,null
21:47:59.488,-32.57283,10.59107,0,null
21:48:00.489,-27.5,12.36496,0,null
21:48:01.493,-25.5,13.90626,0,null
21:48:02.495,-26.03526,16.04682,0,null
21:48:03.495,-27.93422,20.071,0,null
21:48:04.496,-29.99094,23.731,0,null
21:48:05.495,-39.76507,21.60288,0,null
21:48:06.496,-41.86664,15.4511,0,null
21:48:07.499,-41.87973,15.4511,0,null
21:48:08.499,-36.76999,15.45095,0,null
21:48:09.501,-35.34574,15.45095,0,null
21:48:10.504,-44.9097,15.45125,0,null
21:48:11.505,-40.24461,15.48761,0,null
21:48:12.507,-35.29102,18.31122,0,null
21:48:13.508,-32.71025,8.451258,0,null
21:48:14.508,-25.5,15.5332,0,null
21:48:15.509,-16.87449,15.03845,0,null
21:48:16.510,-12.55436,14.45124,0,null
21:48:17.513,-12.53328,14.45124,0,null
21:48:18.514,-3.420661,11.47633,0,null
21:48:19.515,6.592017,2.960711,0,null
21:48:20.519,16.62134,3.333632,0,null
21:48:21.520,19.54818,10.73781,0,null
21:48:22.522,29.19868,8.451036,0,null
21:48:23.524,26.38999,16.6886,0,null
21:48:24.524,22.43821,23.4496,0,null
21:48:25.527,20.33289,22.4514,0,null
21:48:26.529,20.85977,14.45129,0,null
21:48:27.531,10.83915,17.60932,0,null
21:48:28.535,1.021756,14.45116,0,null
21:48:29.534,2.793318,14.45116,0,null
21:48:30.536,2.793318,14.45116,0,null
21:48:31.538,4.878589,14.45116,0,null
21:48:32.539,1.5,22.86949,0,null
21:48:33.539,-6.957376,25.72331,0,null
21:48:34.542,-6.634742,24.44905,0,null
21:48:35.542,-6.928563,23.45098,0,null
21:48:36.544,-6.928563,23.45097,0,null
21:48:37.544,-6.928563,23.45097,0,null
21:48:38.545,-6.928563,23.45097,0,null
21:48:39.546,-6.928563,23.45097,0,null
21:48:40.546,-6.928563,23.45097,0,null
21:48:41.548,-6.928563,23.45097,0,null
21:48:42.550,-11.96612,22.45114,0,null
21:48:43.551,-8.054615,23.4511,0,null
21:48:44.552,-10.82104,22.47721,0,_Axe
21:48:45.555,-11.58944,22.4512,0,_Axe
21:48:46.555,-13.05964,24.56784,0,_Axe
21:48:47.556,-14.65288,22.45511,0,_Axe
21:48:48.557,-17.03461,24.21178,0,_Axe
21:48:49.558,-13.82279,23.96603,0,_Axe
21:48:50.559,-15.68282,22.7351,0,_Axe
21:48:51.561,-15.83086,24.74836,0,null
21:48:52.562,-17.28317,24.21022,0,null
21:48:53.562,-16.93795,23.25292,0,Firewood
21:48:54.565,-16.91378,22.45096,0,Firewood
21:48:55.567,-14.24121,22.45103,0,Firewood
21:48:56.567,-14.70209,22.45103,0,null
21:48:57.568,-18.38259,24.83666,0,null
21:48:58.571,-14.72015,22.45123,0,null
21:48:59.573,-17.95728,22.45123,0,null
21:49:00.575,-18.5,24.35494,0,null
21:49:01.577,-13.27447,23.96161,0,null
21:49:02.580,-17.20036,22.45102,0,Firewood
21:49:03.581,-18.12158,22.45128,0,Firewood
21:49:04.583,-17.66103,23.58616,0,Firewood
21:49:05.584,-12.75042,22.45135,0,Firewood
21:49:06.584,-12.74448,22.45135,0,Firewood
21:49:07.586,-15.86405,25.596,0,null
21:49:08.588,-16.56528,22.45134,0,Firewood
21:49:09.590,-17.06664,25.08078,0,null
21:49:10.592,-15.59324,22.45107,0,Firewood
21:49:11.595,-16.23772,22.45107,0,Firewood
