Time,X,Y,Z,ItemId
22:34:57.391,1.5,-0.5,0,null
22:34:59.579,1.5,-0.5488672,0,null
22:35:00.584,1.5,-0.5488672,0,null
22:35:01.588,1.5,-0.5488672,0,null
22:35:02.590,1.5,-0.5488672,0,null
22:35:03.592,1.5,-0.5488672,0,null
22:35:04.592,1.5,-0.5488672,0,null
22:35:05.595,-1.062023,-0.5488671,0,null
22:35:06.596,-11.07659,-0.5488172,0,null
22:35:07.598,-15.5,7.244777,0,null
22:35:08.598,-20.79709,7.45097,0,DirtyMimic
22:35:09.600,-18.84293,7.45097,0,DirtyMimic
22:35:10.600,-15.67175,-0.4934779,0,DirtyMimic
22:35:11.602,-15.01019,-0.5489664,0,DirtyMimic
22:35:12.604,-15.71042,-0.5489664,0,null
22:35:13.606,-21.74863,3.028782,0,null
22:35:14.606,-28.78791,1.674514,0,null
22:35:15.609,-29.91152,10.07848,0,null
22:35:16.611,-32.46477,8.451097,0,null
22:35:17.612,-34.28173,8.452346,0,null
22:35:18.614,-34.26056,13.99132,0,null
22:35:19.614,-38.96194,18.12071,0,null
22:35:20.616,-43.06406,15.45105,0,_Box
22:35:21.618,-39.54973,15.45104,0,_Box
22:35:22.620,-39.54976,15.45104,0,_Box
22:35:23.621,-39.54975,15.45104,0,null
22:35:24.623,-36.04369,15.45105,0,_Box
22:35:25.625,-30.44944,8.451169,0,_Box
22:35:26.626,-26.61768,1.451219,0,null
22:35:27.627,-26.61624,1.451219,0,null
22:35:28.628,-26.61624,1.451219,0,null
22:35:29.630,-26.61624,1.451219,0,null
22:35:30.631,-29.82524,1.451218,0,null
22:35:31.631,-29.14495,3.439658,0,null
22:35:32.633,-28.5,12.55825,0,null
22:35:33.634,-28.5,21.57447,0,null
22:35:34.635,-35.16621,24.80261,0,null
22:35:35.635,-36.31897,21.45097,0,null
22:35:36.636,-26.30378,24.56173,0,null
22:35:37.639,-20.5,13.31887,0,null
22:35:38.641,-15.1609,6.978447,0,null
22:35:39.642,-19.17239,-0.5489664,0,null
22:35:40.644,-26.5,-0.3252157,0,null
22:35:41.644,-30.76343,1.385211,0,DirtyMimic
22:35:42.646,-36.32986,-1.160746,0,DirtyMimic
22:35:43.648,-32.90746,-10.54899,0,DirtyMimic
22:35:44.648,-32.88252,-10.54899,0,DirtyMimic
22:35:45.650,-36.5,-3.475134,0,DirtyMimic
22:35:46.649,-30.36195,-10.54877,0,null
22:35:47.650,-24.80508,-14.43155,0,null
22:35:48.653,-15.39432,-15.71032,0,_Pot
22:35:49.655,-13.20113,-16.54894,0,_Pot
22:35:50.657,-13.20113,-16.54894,0,_Pot
22:35:51.659,-13.20113,-16.54894,0,_Pot
22:35:52.661,-13.20113,-16.54894,0,_Pot
22:35:53.664,-11.8224,-12.57279,0,_Pot
22:35:54.665,-3.089666,-13.37292,0,_Pot
22:35:55.665,1.611834,-16.54865,0,_Pot
22:35:56.668,-6.45498,-13.54897,0,_Pot
22:35:57.671,-10.22653,-11.59677,0,_Pot
22:35:58.673,-10.22654,-13.54904,0,_Pot
22:35:59.674,-11.5,-16.49843,0,_Pot
22:36:00.676,-19.01902,-16.54904,0,_Pot
22:36:01.678,-26.5,-12.13723,0,_Pot
22:36:02.680,-27.73937,-5.108113,0,_Pot
22:36:03.680,-35.95107,-8.003326,0,_Pot
22:36:04.683,-36.5,0.4960436,0,_Pot
22:36:05.685,-36.5,0.4960436,0,_Pot
22:36:06.686,-36.5,3.067065,0,_Pot
22:36:07.686,-41.5,3.377757,0,_Pot
22:36:08.689,-40.34866,11.5813,0,null
22:36:09.689,-38.23815,8.450964,0,null
22:36:10.690,-42.26136,5.772878,0,null
22:36:11.691,-41.5,4.345296,0,_Pot
22:36:12.694,-36.13618,8.451126,0,_Pot
22:36:13.695,-32.02718,8.451124,0,null
22:36:14.696,-32.21088,11.02987,0,_Pot
22:36:15.696,-30.13648,8.451056,0,null
22:36:16.696,-20.14004,-0.5489577,0,null
22:36:17.698,-20.40639,-0.5489576,0,null
22:36:18.700,-30.42105,1.71938,0,null
22:36:19.699,-35.41,-6.730109,0,null
22:36:20.703,-25.97454,-11.57507,0,null
22:36:21.704,-18.34423,-13.92625,0,null
22:36:22.703,-8.340679,-13.54874,0,null
22:36:23.705,1.68163,-10.27266,0,null
22:36:24.709,8.847258,-16.54904,0,null
22:36:25.710,10.99086,-16.54905,0,null
22:36:26.711,18.67817,-18.54899,0,null
22:36:27.711,24.80301,-18.54899,0,null
22:36:28.713,14.97421,-18.549,0,null
22:36:29.715,4.955526,-16.54898,0,null
22:36:30.717,-5.056655,-13.54902,0,null
22:36:31.718,-12.46436,-13.01432,0,null
22:36:32.717,-22.15294,-13.20288,0,null
22:36:33.720,-25.5715,-10.38041,0,null
22:36:34.722,-26.5,-7.052151,0,null
22:36:35.723,-19.41098,-4.786394,0,null
22:36:36.723,-14.8116,-7.549032,0,_Box
22:36:37.726,-11.31632,-7.589815,0,_Box
22:36:38.727,-5.750103,-11.28323,0,_Box
22:36:39.729,-0.1894089,-10.30222,0,_Box
22:36:40.729,5.368193,-16.54902,0,_Box
22:36:41.730,10.93188,-16.54903,0,_Box
22:36:42.731,9.168471,-15.05326,0,null
22:36:43.733,-0.8430402,-15.68193,0,null
22:36:44.734,-1.835212,-12.02422,0,null
