Time,X,Y,Z,ItemId
22:48:50.062,-70,85,0,null
22:48:51.799,-70,84.93549,0,null
22:48:52.802,-63.17467,84.93549,0,null
22:48:53.806,-53.14852,84.93549,0,null
22:48:54.807,-43.12418,84.93547,0,null
22:48:55.809,-39.5,91.86686,0,null
22:48:56.811,-36.16526,93.46444,0,null
22:48:57.811,-33.05474,98.93568,0,null
22:48:58.813,-23.04287,100.7403,0,null
22:48:59.814,-16.5,103.6266,0,null
22:49:00.816,-20.11659,99.89317,0,null
22:49:01.819,-22.87033,98.93539,0,null
22:49:02.819,-16.5,103.6305,0,null
22:49:03.821,-8.427452,103.9354,0,null
22:49:04.822,1.595343,107.9395,0,null
22:49:05.825,9.699692,102.9357,0,Key
22:49:06.826,2.379647,96.74393,0,Key
22:49:07.829,8.877665,91.88561,0,Key
22:49:08.828,18.14591,92.45998,0,Key
22:49:09.829,26,93.35478,0,Key
22:49:10.829,26,102.6032,0,Key
22:49:11.829,26,112.3391,0,Key
22:49:12.830,25.22429,118.6058,0,null
22:49:13.832,22.00647,117.9356,0,Key
22:49:14.833,15.57141,123.8527,0,Key
22:49:15.835,6.390748,122.9354,0,Key
22:49:16.836,-2.873343,122.9355,0,Key
22:49:17.836,-12.14439,125.7618,0,Key
22:49:18.839,-21.42133,122.6571,0,Key
22:49:19.840,-30.35671,117.1737,0,null
22:49:20.842,-28.64411,115.9355,0,null
22:49:21.844,-27.5549,116.4272,0,Key
22:49:22.844,-34.51157,119.0316,0,Key
22:49:23.845,-42.67401,119.9355,0,Key
22:49:24.848,-51.95762,122.8188,0,Key
22:49:25.873,-60.42493,119.9356,0,null
22:49:26.875,1.159348,-0.5487819,0,null
22:49:27.875,4.384253,-0.5487819,0,null
22:49:28.878,5.324768,-0.548782,0,null
